קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
יוגורט חלבון,מוצרי חלב ותחליפיו,ליטר,2248,1544.27,100.0
קמח,עזרי אפייה ובישול,"ק""ג",13532,1538.91,100.0
אורז,אורז קטניות פסטה תבשילים ותערובות,"ק""ג",6694,1494.29,100.0
מוצרי בשר על האש,בשר ועוף קפוא,"ק""ג",12557,1455.0,99.7
ממרחים מתוקים,רטבים וממרחים,"ק""ג",7588,1447.66,100.0
משקאות תחליפי חלב מצונן,מוצרי חלב ותחליפיו,ליטר,1463,1439.44,100.0
יין אדום,יינות שולחניים,ליטר,8892,1437.87,100.0
אשל לבן שמנת,מוצרי חלב ותחליפיו,ליטר,2091,1387.84,100.0
קפה טורקי,קפה/קקאו,"ק""ג",3204,1374.76,100.0
פסטה,אורז קטניות פסטה תבשילים ותערובות,"ק""ג",18849,1373.2,100.0
גלידות חבילות בית,גלידות ושלגונים,ליטר,5761,1356.99,100.0
בשר בקר קפוא,בשר ועוף קפוא,"ק""ג",10769,1351.03,100.0
פיצוחים,פיצוחים ופירות יבשים ארוזים,"ק""ג",22362,1340.59,100.0
עוף קפוא,בשר ועוף קפוא,"ק""ג",8554,1339.95,100.0
חסה,עלים ותבלינים טריים,"ק""ג",8727,1314.36,99.87
וופלים,מאפים מתוקים ומלוחים,"ק""ג",13405,1292.03,100.0
דגי פילה טריים,קצביה דגים טריים,"ק""ג",2193,1170.74,100.0
סבון לגוף,סבוני רחצה,ליטר,13229,1160.47,100.0
שמפו,טיפוח השיער,ליטר,10760,1144.34,100.0
לחמניות ארוזות,לחם ותחליפיו,"ק""ג",8101,1141.47,100.0
טבלאות שוקולד חלב בודד,שוקולד טבלאות,"ק""ג",9096,1135.19,100.0
מסטיקים ללא סוכר,מסטיקים,"ק""ג",5697,1114.84,100.0
מיונז,רטבים וממרחים,"ק""ג",4495,1095.86,99.99
גבינות שמנת,מוצרי חלב ותחליפיו,"ק""ג",3310,1076.48,100.0
גבינות מיוחדות במשקל,מעדניה חלבית,"ק""ג",5879,1068.19,100.0
נקניקיות מצוננות,מזון מקורר ארוז,"ק""ג",4922,1064.2,100.0
בירה לבנה בודד,בירה לבנה,ליטר,12200,1053.16,100.0
שימורי ירקות,שימורים,"ק""ג",6438,959.85,100.0
גבינות מלוחות במשקל,מעדניה חלבית,"ק""ג",3378,926.66,100.0
סודה,משקאות לא אלכוהולים,ליטר,4381,922.15,100.0
בייגלה,חטיפים מלוחים,"ק""ג",7732,913.16,100.0
קפה אספרסו,קפה/קקאו,"ק""ג",11507,907.02,100.0
ניקוי כללי,ניקוי הבית,יח' באריזה,11008,895.67,100.0
שימורי מלפפונים,שימורים,"ק""ג",8276,892.67,100.0
מיץ טבעי סחוט מקורר,משקאות לא אלכוהולים,ליטר,3751,865.48,100.0
קרקרים,מאפים מתוקים ומלוחים,"ק""ג",4078,855.12,100.0
שוקולד טבלאות מאגדת,שוקולד טבלאות,"ק""ג",2391,854.62,100.0
דגים טריים פרימיום,קצביה דגים טריים,"ק""ג",3159,835.29,100.0
קטניות,אורז קטניות פסטה תבשילים ותערובות,"ק""ג",15324,827.95,100.0
יינות תירוש,יינות שולחניים,ליטר,2932,810.69,100.0
טחינה גולמית,רטבים וממרחים,"ק""ג",3251,800.21,100.0
משקאות וודקה,משקאות חריפים,ליטר,2781,795.39,100.0
משקאות וויסקי,משקאות חריפים,ליטר,2747,790.41,100.0
טבלאות שוקולד מריר בודד,שוקולד טבלאות,"ק""ג",7885,786.73,100.0
נוזל כלים,שטיפת כלים,ליטר,6366,776.37,100.0
סלט חומוס חלק,סלטים ארוזים,"ק""ג",2375,773.94,100.0
חומרים למדיח,שטיפת כלים,יח' באריזה,4300,773.77,100.0
תכשירי ניקוי רצפות,ניקוי הבית,יח' באריזה,10183,772.99,100.0
לחם מפוקח ארוז,לחם ותחליפיו,"ק""ג",920,771.39,100.0
חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,"ק""ג",8265,765.75,100.0
שימורי זיתים ירוקים/מיקס,שימורים,"ק""ג",5455,758.21,100.0
תחליפי חלב וטופו,מוצרי חלב ותחליפיו,יח' באריזה,5588,750.31,99.76
דאודורנט נשים,היגיינה וטיפוח הגוף,ליטר,10548,746.3,100.0
דאודורנט לגברים,היגיינה וטיפוח הגוף,ליטר,9665,732.05,100.0
