mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
מאפית רותם,עוגות מדף ארוזות,מאפים מתוקים ומלוחים,0.039512639999999995,0.45,0.8,0.27,0.68,DOM,0.43000000000000005,,0.68,0.43000000000000005,0.8273947224096708,43.00000000000001
"רוסטיק בייקרי מכר בע""מ",עוגיות פרימיום,מאפים מתוקים ומלוחים,0.007732057991466666,0.45,0.8,0.27,0.68,UNK,0.43000000000000005,,0.68,0.5276485639268795,0.9061470413787233,52.76485639268795
טופ גאם תעשיות ממתקים,סוכריות אחרות,סוכריות,0.03807793,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.7284116897636717,0.390351949646776,72.84116897636717
"קנדי חשמל ונכסים בע""מ",סוכריות גלי,סוכריות,0.21306562514271163,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.5169435666073409,0.9094532492259076,51.69435666073409
חסלט,עירית,עלים ותבלינים טריים,0.03994277240756231,0.6,0.1,0.32,0.6,IMP,0.13,TRADER,0.72,0.72,0.11077548191138076,72.0
בלדי,נתחים קדמי מופשר,קצביה בשרית מופשר,0.048956454681621034,0.78,0.9,0.26,0.8,DOM,0.772,,0.8,0.772,0.10056939854473847,77.2
פוליבה,שימורי דגים,שימורים,0.007316966406899999,0.6,1.0,0.25,0.7,IMP,0.6699999999999999,BRAND,0.6,0.6,0.5283689412399176,60.0
ע.ס זמר שיווק,שימורי זיתים ירוקים/מיקס,שימורים,0.06258739190832474,0.55,0.8,0.25,0.7,UNK,0.51,,0.7,0.5118550760543832,0.7490897061176109,51.18550760543832
בוטבילובסקי טטיאנה,תבלינים במיכל,תבלינים,0.01983242,0.5,0.85,0.3,0.68,UNK,0.495,,0.68,0.523980692235371,0.6828105174657801,52.3980692235371
קפה נחלה סובחי,קטניות,אורז קטניות פסטה תבשילים ותערובות,0.05283428258921204,0.6,0.95,0.25,0.75,UNK,0.6399999999999999,,0.75,0.6454989558615526,0.7146887922738776,64.54989558615526
מאפיית אריאל,דגנים,דגנים ודגנים מיוחדים,0.21463223845790583,0.45,0.9,0.27,0.68,DOM,0.47500000000000003,,0.68,0.47500000000000003,0.9183060278612357,47.5
"ניקנור בע""מ",דאודורנט לגברים,היגיינה וטיפוח הגוף,0.18998383658147006,0.35,0.8,0.32,0.55,UNK,0.35,,0.55,0.40058346037536346,0.9379465271537525,40.058346037536346
עדין קואפרטי,בייגלה,חטיפים מלוחים,0.07649662131151795,0.4,0.7,0.28,0.65,UNK,0.35,,0.65,0.37227638686595105,0.7953678108353943,37.22763868659511
בית היין אור הגנוז בעמ,יין רוזה,יינות שולחניים,0.07602183010979997,0.4,0.25,0.25,0.65,UNK,0.17,,0.65,0.1981854956731461,0.6778349815058022,19.818549567314612
גידרון,עוגות מדף ארוזות,מאפים מתוקים ומלוחים,0.6005213375621633,0.45,0.8,0.27,0.68,UNK,0.43000000000000005,,0.68,0.43701988942746256,0.8273947224096708,43.701988942746254
ויטה פרי הגליל,אשל לבן שמנת,מוצרי חלב ותחליפיו,0.06349192766878001,0.55,0.12,0.25,0.65,UNK,0.136,,0.65,0.14051034987871733,0.9931312731301271,14.051034987871732
מחלבת גדות הירדן,גבינות שמנת,מוצרי חלב ותחליפיו,0.018555719100360787,0.55,0.12,0.25,0.65,DOM,0.136,,0.65,0.136,0.9905984425567711,13.600000000000001
טריקלמון,סבון נוזלי לידיים/משאבה,סבוני רחצה,0.3215208666363578,0.35,0.8,0.32,0.55,UNK,0.35,,0.55,0.40120248541744963,0.7440550087622585,40.120248541744964
"בריאני בע""מ",סוכריות אחרות,סוכריות,0.16368773670036,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.7284116897636717,0.390351949646776,72.84116897636717
פרומדיקו,פיצוחים,פיצוחים ופירות יבשים ארוזים,1.1856325267687,0.65,0.85,0.27,0.75,UNK,0.6225,,0.75,0.6850677095107318,0.6228855110094634,68.50677095107318
אם החיטה בעמ כהן הלפרין,ממרחים מתוקים,רטבים וממרחים,0.04073067851211,0.45,0.7,0.27,0.65,DOM,0.385,,0.65,0.385,0.9256208243922336,38.5
הורליין,קטשופ,רטבים וממרחים,0.060837996641298006,0.45,0.7,0.27,0.65,UNK,0.385,,0.65,0.43969818737947663,0.9896182738075606,43.96981873794766
דנשר,ריבות/קונפיטורות,רטבים וממרחים,0.0331457949758549,0.45,0.7,0.27,0.65,IMP,0.385,TRADER,0.77,0.77,0.8852054758494539,77.0
בראשית,ריבות/קונפיטורות,רטבים וממרחים,0.1177526301619591,0.45,0.7,0.27,0.65,UNK,0.385,,0.65,0.532437201011002,0.8852054758494539,53.2437201011002
Srl Atlante,טבלאות שוקולד חלב בודד,שוקולד טבלאות,0.99415971353342,0.55,0.12,0.28,0.65,UNK,0.136,,0.65,0.3040670104362988,0.7612756126765999,30.40670104362988
יצרן לא ידוע,טבלאות שוקולד לבן בודד,שוקולד טבלאות,0.14110400799999998,0.45,0.9,0.28,0.65,BUCKET,0.47500000000000003,,0.65,0.5069247420420372,0.8808680237869122,50.69247420420372
Srl Atlante,טבלאות שוקולד מריר בודד,שוקולד טבלאות,0.73792502037392,0.45,0.9,0.28,0.65,UNK,0.47500000000000003,,0.65,0.5124749410165143,0.7150277300051927,51.24749410165143
ליברס,טבלאות שוקולד מריר בודד,שוקולד טבלאות,0.011943635392401916,0.45,0.9,0.28,0.65,UNK,0.47500000000000003,,0.65,0.5124749410165143,0.7150277300051927,51.24749410165143
כהן אבי שיווק מזון - מעדני עין צור,שמנים רגילים,שמנים,0.9036064227069,0.7,1.0,0.22,0.8,UNK,0.77,,0.8,0.7932063365284645,0.6174062816671632,79.32063365284645
"אחים טיירי עסקי מזון בע""מ",תה שחור בטעמים,תה,0.0013349918023200001,0.35,0.9,0.28,0.62,UNK,0.385,,0.62,0.4016883760852119,0.8311325053535051,40.16883760852119
איסבקו חברה ישראלית למשקאות בעמ,בירה לבנה בחבית,בירה לבנה,0.1183720167266,0.35,0.6,0.25,0.65,UNK,0.28,,0.65,0.2876975736241425,,28.76975736241425
תבליני דפנה,דגנים מיוחדים,דגנים ודגנים מיוחדים,0.027051364425332,0.45,0.9,0.27,0.68,UNK,0.47500000000000003,,0.68,0.6519479209314285,0.673679657279349,65.19479209314285
סנאק פקטורי,בייגלה,חטיפים מלוחים,0.004066496174117647,0.4,0.7,0.28,0.65,UNK,0.35,,0.65,0.37227638686595105,0.7953678108353943,37.22763868659511
יקב מוני שיווק יינות ושמן זית,יין לבן,יינות שולחניים,0.030909399524199993,0.4,0.25,0.25,0.65,UNK,0.17,,0.65,0.22281557262208726,0.6929729836271016,22.281557262208725
עוגות המרכז,עוגות מדף ארוזות,מאפים מתוקים ומלוחים,0.017675549703884488,0.45,0.8,0.27,0.68,UNK,0.43000000000000005,,0.68,0.43701988942746256,0.8273947224096708,43.701988942746254
ארבקס,מים מועשרים,משקאות לא אלכוהולים,0.5374689920295722,0.2,0.2,0.28,0.65,DOM,0.11000000000000001,,0.65,0.11000000000000001,0.9888423274316833,11.000000000000002
אלמוג דיל,משקאות מוגזים טעמי פירות,משקאות לא אלכוהולים,0.2682505941319683,0.3,0.55,0.28,0.65,UNK,0.23500000000000001,,0.65,0.24144335327947722,0.9820677454399994,24.144335327947722
שקדיה,פתיתים,אורז קטניות פסטה תבשילים ותערובות,0.30411388979665,0.6,0.95,0.25,0.75,IMP,0.6399999999999999,BRAND,0.65,0.65,0.8984030576662021,65.0
העוגן-הקשבה עצמית גוף נפש,חטיפי חלבון,חטיפי דגנים וחלבון,0.00676426,0.55,0.12,0.28,0.62,UNK,0.136,,0.62,0.37550225426572825,0.6852216128881315,37.55022542657282
"אדום יבוא מזון בע""מ",חמאה,מוצרי חלב ותחליפיו,1.3046849412688597,0.55,0.12,0.25,0.65,IMP,0.136,TRADER,0.77,0.77,0.9426778902303783,77.0
לוריאל ישראל,תכשיר הגנה מהשמש לפנים,מוצרי שיזוף והגנה מהשמש,0.7568608398000001,0.3,0.85,0.33,0.55,IMP,0.325,BRAND,0.45000000000000007,0.45000000000000007,0.7951188647742287,45.00000000000001
"טעמי אסיה בע""מ",מיץ 100% פרי,משקאות לא אלכוהולים,0.1282687984036343,0.45,0.7,0.28,0.65,UNK,0.385,,0.65,0.5909920794706752,0.5889295423124472,59.09920794706752
טוק טוק,משקאות קלים,משקאות לא אלכוהולים,0.001287095458,0.35,0.45,0.28,0.65,UNK,0.2275,,0.65,0.22872725938674437,0.9665194572736849,22.87272593867444
